Time,Regional_NMI,Regional_PCC
0,0.0102,0.244314861
1,0.0099,0.233441102
2,0.0097,0.225938839
3,0.0096,0.220597915
4,0.0094,0.216096624
5,0.0093,0.211819255
6,0.0091,0.209052949
7,0.0090,0.205464279
8,0.0089,0.200038704
9,0.0088,0.197990025
10,0.0087,0.194905556
11,0.0086,0.193999137
12,0.0086,0.196072957
13,0.0085,0.194100294
14,0.0084,0.191528558
15,0.0085,0.19350784
16,0.0085,0.193675273
17,0.0081,0.187902438
18,0.0074,0.187265645
19,0.0085,0.193139783
20,0.0085,0.192009479
21,0.0085,0.192871482
22,0.0085,0.19184316
23,0.0085,0.191171387
24,0.0086,0.194879037
25,0.0087,0.196424394
26,0.0086,0.195691969
27,0.0087,0.197954759
28,0.0084,0.194306297
29,0.0084,0.191590242
30,0.0085,0.191777407
31,0.0087,0.195227423
32,0.0087,0.195559703
33,0.0086,0.194479874
34,0.0085,0.1942043
35,0.0085,0.192284605
36,0.0085,0.191459852
37,0.0085,0.193564079
38,0.0081,0.190274407
39,0.0081,0.190874983
40,0.0084,0.191971203
41,0.0084,0.189374474
42,0.0085,0.18990771
43,0.0083,0.187015676
44,0.0085,0.196257748
45,0.0084,0.195311952
46,0.0085,0.198566278
47,0.0085,0.197676627
48,0.0085,0.197693408
49,0.0083,0.196022334
50,0.0083,0.193118924
51,0.0083,0.192058637
52,0.0083,0.191161896
